
The msp objective value list is: 
[9050.0, 3725.0, 1965.5555555555557, 1945.0000000000005]
The list of gammas it figured out packed into columns of a matrix is: 
12×4 Matrix{Float64}:
 1000.0    50.0   50.0     50.0
  100.0   100.0  100.0    100.0
 1000.0   150.0  150.0    150.0
 1000.0   170.0  170.0    170.0
 1000.0   150.0  150.0    150.0
  100.0   100.0  100.0    100.0
 1000.0    50.0   50.0     50.0
 1000.0  1000.0  140.556  150.0
 1000.0   250.0  230.0    250.0
  350.0   205.0  225.0    200.0
 1000.0  1000.0  300.0    286.111
  500.0   500.0  300.0    288.889
The termination status is: 0

c[(1, 1)] = 5879.08
c[(2, 1)] = 2273.0
c[(3, 1)] = 2052.5
c[(4, 1)] = 6169.415000000001
c[(5, 1)] = 4166.46
c[(6, 1)] = 1931.5
c[(1, 2)] = 5209.04875
c[(2, 2)] = 2273.0
c[(3, 2)] = 2052.5
c[(4, 2)] = 6169.415000000001
c[(5, 2)] = 4166.46
c[(6, 2)] = 1736.65
c[(1, 3)] = 4547.36125
c[(2, 3)] = 2034.1999999999998
c[(3, 3)] = 1845.3500000000001
c[(4, 3)] = 5476.148125000001
c[(5, 3)] = 4166.46
c[(6, 3)] = 1931.5
c[(1, 4)] = 3916.2675
c[(2, 4)] = 2273.0
c[(3, 4)] = 2052.5
c[(4, 4)] = 6169.415000000001
c[(5, 4)] = 3722.9224999999997
c[(6, 4)] = 1736.65
c[(1, 5)] = 3301.86125
c[(2, 5)] = 2273.0
c[(3, 5)] = 1845.3500000000001
c[(4, 5)] = 5575.186250000001
c[(5, 5)] = 4166.46
c[(6, 5)] = 1736.65
c[(1, 6)] = 3916.2675
c[(2, 6)] = 2273.0
c[(3, 6)] = 2052.5
c[(4, 6)] = 4884.516250000001
c[(5, 6)] = 3786.285
c[(6, 6)] = 1931.5
c[(1, 7)] = 4547.36125
c[(2, 7)] = 2273.0
c[(3, 7)] = 2052.5
c[(4, 7)] = 5575.186250000001
c[(5, 7)] = 4166.46
c[(6, 7)] = 1931.5
c[(1, 8)] = 3916.2675
c[(2, 8)] = 2034.1999999999998
c[(3, 8)] = 1845.3500000000001
c[(4, 8)] = 4884.516250000001
c[(5, 8)] = 4025.6544444444535
c[(6, 8)] = 1736.65
c[(1, 9)] = 4547.36125
c[(2, 9)] = 1798.7
c[(3, 9)] = 1639.0
c[(4, 9)] = 4529.993055555543
c[(5, 9)] = 3582.116944444453
c[(6, 9)] = 1542.3999999999999
c[(1, 10)] = 5209.04875
c[(2, 10)] = 2034.1999999999998
c[(3, 10)] = 9.937830655541672e7
c[(4, 10)] = 5201.042222222209
c[(5, 10)] = 3722.9224999999997
c[(6, 10)] = 1349.35
c[(1, 11)] = 5879.08
c[(2, 11)] = 2273.0
c[(3, 11)] = 2052.5
c[(4, 11)] = 5894.309097222209
c[(5, 11)] = 4166.46
c[(6, 11)] = 0.0
c[(1, 12)] = 5209.04875
c[(2, 12)] = 2034.1999999999998
c[(3, 12)] = 0.0
c[(4, 12)] = 5201.042222222209
c[(5, 12)] = 3722.9224999999997
c[(6, 12)] = 650.5
p[(1, 1)] = 350.0
p[(2, 1)] = 200.0
p[(3, 1)] = 150.0
p[(4, 1)] = 350.0
p[(5, 1)] = 350.0
p[(6, 1)] = 150.0
p[(1, 2)] = 315.0
p[(2, 2)] = 200.0
p[(3, 2)] = 150.0
p[(4, 2)] = 350.0
p[(5, 2)] = 350.0
p[(6, 2)] = 135.0
p[(1, 3)] = 280.0
p[(2, 3)] = 180.0
p[(3, 3)] = 135.0
p[(4, 3)] = 315.0
p[(5, 3)] = 350.0
p[(6, 3)] = 150.0
p[(1, 4)] = 245.0
p[(2, 4)] = 200.0
p[(3, 4)] = 150.0
p[(4, 4)] = 350.0
p[(5, 4)] = 315.0
p[(6, 4)] = 135.0
p[(1, 5)] = 210.0
p[(2, 5)] = 200.0
p[(3, 5)] = 135.0
p[(4, 5)] = 320.0
p[(5, 5)] = 350.0
p[(6, 5)] = 135.0
p[(1, 6)] = 245.0
p[(2, 6)] = 200.0
p[(3, 6)] = 150.0
p[(4, 6)] = 285.0
p[(5, 6)] = 320.0
p[(6, 6)] = 150.0
p[(1, 7)] = 280.0
p[(2, 7)] = 200.0
p[(3, 7)] = 150.0
p[(4, 7)] = 320.0
p[(5, 7)] = 350.0
p[(6, 7)] = 150.0
p[(1, 8)] = 245.0
p[(2, 8)] = 180.0
p[(3, 8)] = 135.0
p[(4, 8)] = 285.0
p[(5, 8)] = 338.8888888888896
p[(6, 8)] = 135.0
p[(1, 9)] = 280.0
p[(2, 9)] = 160.0
p[(3, 9)] = 120.0
p[(4, 9)] = 266.1111111111104
p[(5, 9)] = 303.8888888888896
p[(6, 9)] = 120.0
p[(1, 10)] = 315.0
p[(2, 10)] = 180.0
p[(3, 10)] = 0.0
p[(4, 10)] = 301.1111111111104
p[(5, 10)] = 315.0
p[(6, 10)] = 105.0
p[(1, 11)] = 350.0
p[(2, 11)] = 200.0
p[(3, 11)] = 150.0
p[(4, 11)] = 336.1111111111104
p[(5, 11)] = 350.0
p[(6, 11)] = 0.0
p[(1, 12)] = 315.0
p[(2, 12)] = 180.0
p[(3, 12)] = 0.0
p[(4, 12)] = 301.1111111111104
p[(5, 12)] = 315.0
p[(6, 12)] = 50.0
h[(1, 1)] = 0.0
h[(1, 2)] = 0.0
h[(1, 3)] = 0.0
h[(1, 4)] = 0.0
h[(1, 5)] = 0.0
h[(1, 6)] = 0.0
h[(1, 7)] = 0.0
h[(1, 8)] = 0.0
h[(1, 9)] = 0.0
h[(1, 10)] = 0.0
h[(1, 11)] = 0.0
h[(1, 12)] = 0.0
g_plus[(1, 1)] = 0.0
g_plus[(1, 2)] = 0.0
g_plus[(1, 3)] = 0.0
g_plus[(1, 4)] = 0.0
g_plus[(1, 5)] = 0.0
g_plus[(1, 6)] = 0.0
g_plus[(1, 7)] = 0.0
g_plus[(1, 8)] = 0.0
g_plus[(1, 9)] = 0.0
g_plus[(1, 10)] = 0.0
g_plus[(1, 11)] = 0.0
g_plus[(1, 12)] = 100.0
g_minus[(1, 1)] = 0.0
g_minus[(1, 2)] = 0.0
g_minus[(1, 3)] = 0.0
g_minus[(1, 4)] = 0.0
g_minus[(1, 5)] = 0.0
g_minus[(1, 6)] = 0.0
g_minus[(1, 7)] = 0.0
g_minus[(1, 8)] = 0.0
g_minus[(1, 9)] = 0.0
g_minus[(1, 10)] = 0.0
g_minus[(1, 11)] = 0.0
g_minus[(1, 12)] = 0.0
dr[(1,)] = 200.0
dr[(2,)] = 150.0
dr[(3,)] = 140.0
dr[(4,)] = 115.0
dr[(5,)] = 200.0
dr[(6,)] = 300.0
dr[(7,)] = 300.0
dr[(8,)] = 231.1111111111104
dr[(9,)] = 100.0
dr[(10,)] = 83.88888888888937
dr[(11,)] = 300.0
dr[(12,)] = 0.0
μ[(1, 1)] = 100.0
μ[(2, 1)] = 100.0
μ[(3, 1)] = 0.0
μ[(1, 2)] = 100.0
μ[(2, 2)] = 50.0
μ[(3, 2)] = 0.0
μ[(1, 3)] = 0.0
μ[(2, 3)] = 40.0
μ[(3, 3)] = 100.0
μ[(1, 4)] = 15.0
μ[(2, 4)] = 100.0
μ[(3, 4)] = 0.0
μ[(1, 5)] = 100.0
μ[(2, 5)] = 0.0
μ[(3, 5)] = 100.0
μ[(1, 6)] = 100.0
μ[(2, 6)] = 100.0
μ[(3, 6)] = 100.0
μ[(1, 7)] = 100.0
μ[(2, 7)] = 100.0
μ[(3, 7)] = 100.0
μ[(1, 8)] = 100.0
μ[(2, 8)] = 100.0
μ[(3, 8)] = 31.111111111110404
μ[(1, 9)] = 100.0
μ[(2, 9)] = 0.0
μ[(3, 9)] = 0.0
μ[(1, 10)] = 83.88888888888937
μ[(2, 10)] = 0.0
μ[(3, 10)] = 0.0
μ[(1, 11)] = 100.0
μ[(2, 11)] = 100.0
μ[(3, 11)] = 100.0
μ[(1, 12)] = 0.0
μ[(2, 12)] = 0.0
μ[(3, 12)] = 0.0
ρ⁺:
12-element Vector{Float64}:
 -0.0
 -0.0
  0.0
 -0.0
  1.0
  1.0
 -0.0
 -0.0
 -0.0
 -0.0
 -0.0
  0.0
ρ⁻: 
12-element Vector{Float64}:
 1.0
 1.0
 1.0
 1.0
 0.0
 0.0
 1.0
 1.0
 1.0
 1.0
 1.0
 1.0
